Category_Character;Category_Name;Group_Number;Group_Name;Disease;OMIM;OMIM.link;HPO.link;Gene;Function;Incidence;Artefact disclaimer;Metabolite;HMDB.code;HMDB.link;M/z;Isobaric_compounds;Isobaric_Compounds_Names;Biomarker_PathwayPosition_BodyFluid;Biomarker_PathwayPosition_BodyFluid_Weight;Change;Change_Weight;Importance;Importance_Weight;Total_Weight;Absolute_Weight;Dispensability;Zscore_Cutoff;Diagnosis_Blood
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Plasma;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Argininosuccinic acid;HMDB00052;http://www.hmdb.ca/metabolites/HMDB00052;290.2731;No;NA;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;L-Aspartic acid;HMDB00191;http://www.hmdb.ca/metabolites/HMDB00191;133.1027;Yes;"D-Aspartic acid; Iminodiacetic acid";Substrate;3;Increase;1;Supportive;1;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Glycine;HMDB00123;http://www.hmdb.ca/metabolites/HMDB00123;75.0666;No;NA;Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Glycine;HMDB00123;http://www.hmdb.ca/metabolites/HMDB00123;75.0666;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;N-a-Acetylcitrulline;HMDB00856;http://www.hmdb.ca/metabolites/HMDB00856;217.2224;Yes;"Alanyl-Glutamine; Alanyl-Gamma-glutamate; Glutaminyl-Alanine; Gamma-glutamyl-Alanine";Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type I;215700;https://omim.org/entry/215700;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:215700;ASS1;Enzyme;Estimated 1:70,000-1:100,000;No possible artefacts to report;Orotidine;HMDB00788;http://www.hmdb.ca/metabolites/HMDB00788;288.2109;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type II;603471;https://omim.org/entry/603471;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:603471;SLC25A13;Transporter;Estimated 1:100,000-1:230,000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Citrullinaemia type II;603471;https://omim.org/entry/603471;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:603471;SLC25A13;Transporter;Estimated 1:100,000-1:230,000;No possible artefacts to report;Argininosuccinic acid;HMDB00052;http://www.hmdb.ca/metabolites/HMDB00052;290.2731;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Plasma;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;Homocitrulline;HMDB00679;http://www.hmdb.ca/metabolites/HMDB00679;189.2123;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;L-Glutamine;HMDB00641;http://www.hmdb.ca/metabolites/HMDB00641;146.1445;Yes;"D-Glutamine; Ureidoisobutyric acid; Alanylglycine; Alanyl-Glycine";Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;3-Amino-2-piperidone;HMDB00323;http://www.hmdb.ca/metabolites/HMDB00323;114.1457;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;L-Lysine;HMDB00182;http://www.hmdb.ca/metabolites/HMDB00182;146.1876;Yes;"D-Lysine; 3,6-Diaminohexanoate";Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Mitochondrial ornithine transporter deficiency;238970;https://omim.org/entry/238970;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:238970;SLC25A15;Transporter;Estimated ~100 cases;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Plasma;2;Decrease;-1.5;Critical;5;-15;15;Indispensable;-1.0;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;N-Acetylglutamic acid;HMDB01138;http://www.hmdb.ca/metabolites/HMDB01138;189.1659;Yes;Glutarylglycine;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;L-Glutamic acid;HMDB00148;http://www.hmdb.ca/metabolites/HMDB00148;147.1293;Yes;"D-Glutamic acid; DL-Glutamate; N-Methyl-D-aspartic acid; N-Acetylserine; L-4-Hydroxyglutamate semialdehyde";Substrate;3;Increase;1;Supportive;1;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;L-Arginine;HMDB00517;http://www.hmdb.ca/metabolites/HMDB00517;174.201;Yes;D-Arginine;Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;L-Alanine;HMDB00161;http://www.hmdb.ca/metabolites/HMDB00161;89.0932;Yes;"D-Alanine; Beta-alanine; Sarcosine";Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;L-Glutamine;HMDB00641;http://www.hmdb.ca/metabolites/HMDB00641;146.1445;Yes;"D-Glutamine; Ureidoisobutyric acid; Alanylglycine; Alanyl-Glycine";Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;N-acetylglutamate synthase deficiency;237310;https://omim.org/entry/237310;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:237310;NAGS;Enzyme;Estimated ~56 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Decrease;-1.5;Supportive;1;-1.5;1.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Product;3;Decrease;-1.5;Important influence;3;-13.5;13.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;L-Arginine;HMDB00517;http://www.hmdb.ca/metabolites/HMDB00517;174.201;Yes;D-Arginine;Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Citrulline;HMDB00904;http://www.hmdb.ca/metabolites/HMDB00904;175.1857;Yes;Argininic acid;Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;OTC-DiagRatio-(OA+Uri+Ura)/Cit;HMDBOAA01;NA;NA_Ratio_OAA01;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;L-Glutamine;HMDB00641;http://www.hmdb.ca/metabolites/HMDB00641;146.1445;Yes;"D-Glutamine; Ureidoisobutyric acid; Alanylglycine; Alanyl-Glycine";Plasma;2;Increase;1;Important influence;3;6;6;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Glycine;HMDB00123;http://www.hmdb.ca/metabolites/HMDB00123;75.0666;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Carbamoyl phosphate;HMDB01096;http://www.hmdb.ca/metabolites/HMDB01096;141.0199;No;NA;Substrate;3;Increase;1;Supportive;1;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;L-Asparagine;HMDB00168;http://www.hmdb.ca/metabolites/HMDB00168;132.1179;Yes;"D-Asparagaine; Ureidopropionic acid; Glycyl-glycine; N-carbamoylsarcosine";Plasma;2;Increase;1;Supportive;1;2;2;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Uracil;HMDB00300;http://www.hmdb.ca/metabolites/HMDB00300;112.0868;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;L-Lysine;HMDB00182;http://www.hmdb.ca/metabolites/HMDB00182;146.1876;Yes;"D-Lysine; 3,6-Diaminohexanoate";Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Uric acid;HMDB00289;http://www.hmdb.ca/metabolites/HMDB00289;168.1103;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Homocitrulline;HMDB00679;http://www.hmdb.ca/metabolites/HMDB00679;189.2123;No;NA;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;7;Disorders of ammonia detoxification;Ornithine transcarbamylase deficiency;311250;https://omim.org/entry/311250;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:311250;OTC;Enzyme;Estimated 1:56.500-1:77.000;No possible artefacts to report;Uridine;HMDB00296;http://www.hmdb.ca/metabolites/HMDB00296;244.2014;Yes;Pseudouridine;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Cystinuria;220100;https://omim.org/entry/220100;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:220100;"SLC3A1; SLC7A9";Transporter;Estimated 1:7.000;Urinary transporter, difficult diagnosis in blood;L-Cystine;HMDB00192;http://www.hmdb.ca/metabolites/HMDB00192;240.3;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Cystinuria;220100;https://omim.org/entry/220100;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:220100;"SLC3A1; SLC7A9";Transporter;Estimated 1:7.000;Urinary transporter, difficult diagnosis in blood;Ornithine;HMDB00214;http://www.hmdb.ca/metabolites/HMDB00214;132.161;Yes;D-Ornithine;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Cystinuria;220100;https://omim.org/entry/220100;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:220100;"SLC3A1; SLC7A9";Transporter;Estimated 1:7.000;Urinary transporter, difficult diagnosis in blood;L-Arginine;HMDB00517;http://www.hmdb.ca/metabolites/HMDB00517;174.201;Yes;D-Arginine;Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Cystinuria;220100;https://omim.org/entry/220100;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:220100;"SLC3A1; SLC7A9";Transporter;Estimated 1:7.000;Urinary transporter, difficult diagnosis in blood;L-Lysine;HMDB00182;http://www.hmdb.ca/metabolites/HMDB00182;146.1876;Yes;"D-Lysine; 3,6-Diaminohexanoate";Urine;1;Increase;1;Supportive;1;1;1;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Tryptophan;HMDB00929;http://www.hmdb.ca/metabolites/HMDB00929;204.2252;Yes;"D-Tryptophan; (+)-Tryptophan; 3-Hydroxymethylantipyrine";Plasma;2;Decrease;-1.5;Important influence;3;-9;9;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Alanine;HMDB00161;http://www.hmdb.ca/metabolites/HMDB00161;89.0932;Yes;"D-Alanine; Beta-alanine; Sarcosine";Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Serine;HMDB00187;http://www.hmdb.ca/metabolites/HMDB00187;105.0926;Yes;D-Serine;Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Valine;HMDB00883;http://www.hmdb.ca/metabolites/HMDB00883;117.1463;Yes;"Betaine; N-Methyl-aminoisobutyric acid; Aminopentanoic acid; Norvaline";Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Threonine;HMDB00167;http://www.hmdb.ca/metabolites/HMDB00167;119.1192;Yes;"L-Homoserine; L-Allothreonine";Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Leucine;HMDB00687;http://www.hmdb.ca/metabolites/HMDB00687;131.1729;Yes;"L-Isoleucine; L-Alloisoleucine; L-Norleucine; Beta-Leucine; D-Leucine; 3-Aminocaproic acid";Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
A;Disorders of nitrogen-containing compounds;8;Disorders of amino acid transport;Hartnup disorder;234500;https://omim.org/entry/234500;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:234500;SLC6A19;Transporter;Estimated 1:30,000;Urinary transporter, difficult diagnosis in blood;L-Isoleucine;HMDB00172;http://www.hmdb.ca/metabolites/HMDB00172;131.1729;Yes;"L-Leucine; L-Alloisoleucine; L-Norleucine; Beta-Leucine; D-Leucine; 3-Aminocaproic acid";Plasma;2;Decrease;-1.5;Supportive;1;-3;3;Dispensable;;No
